name;WKT;Country
Il-Baħrija;POINT(14.3483 35.8947);Malta
Għajnsielem;POINT(14.2903 36.0269);Malta
Attard;POINT(14.4383 35.8928);Malta
Il-Kunsill Lokali ta' Ħal Għargħur;POINT(14.4534 35.9241);Malta
Il-Kunsill Lokali tas-Siġġiewi;POINT(14.4383 35.8542);Malta
Ħaż-Żabbar;POINT(14.5381 35.8772);Malta
Dingli;POINT(14.3814 35.8603);Malta
Il-Kunsill Lokali tal-Kalkara;POINT(14.5294 35.8892);Malta
Nadur;POINT(14.295 36.0381);Malta
Balzan;POINT(14.4533 35.8981);Malta
Is-Salini;POINT(14.4244 35.9456);Malta
Pembroke;POINT(14.4808 35.9264);Malta
Il-Kunsill Lokali ta' Ħal Luqa;POINT(14.4892 35.8597);Malta
Gudja;POINT(14.5025 35.8483);Malta
ll-Kunsill Lokali tax-Xgħajra;POINT(14.5472 35.8864);Malta
In-Naxxar;POINT(14.4447 35.915);Malta
Il-Kunsill Lokali tal-Gżira;POINT(14.4944 35.905);Malta
Il-Kunsill Lokali ta' Ħal Lija;POINT(14.4472 35.9014);Malta
Il-Kunsill Lokali ta' Ħal Kirkop;POINT(14.485 35.8419);Malta
Rabat;POINT(14.3989 35.8817);Malta
Blata l-Bajda;POINT(14.4986 35.8875);Malta
Il-Kunsill Lokali tal-Imsida;POINT(14.4894 35.8978);Malta
Kunsill Lokali Floriana;POINT(14.5058 35.8933);Malta
L-Għarb;POINT(14.2092 36.0611);Malta
Il-Kunsill Lokali tal-Gudja;POINT(14.5025 35.8483);Malta
Il-Kunsill Lokali ta' Birkirkara;POINT(14.4625 35.8967);Malta
Il-Kunsill Lokali tal-Imtarfa;POINT(14.3969 35.8908);Malta
Il-Kunsill Lokali ta' San Ġwann;POINT(14.4786 35.9094);Malta
Il-Bidnija;POINT(14.3983 35.9269);Malta
Il-Kunsill Lokali ta' Ta' Xbiex;POINT(14.4981 35.8992);Malta
Mtarfa;POINT(14.3969 35.8908);Malta
Il-Kunsill Lokali tas-Swieqi;POINT(14.48 35.9208);Malta
Ir-Rabat;POINT(14.2431 36.0436);Malta
Il-Kunsill Lokali tal-Imqabba;POINT(14.4669 35.8442);Malta
L-Imsida;POINT(14.4894 35.8978);Malta
Il-Kunsill Lokali ta' Ħal Safi;POINT(14.485 35.8333);Malta
Ix-Xlendi;POINT(14.2189 36.0297);Malta
Birkirkara;POINT(14.4625 35.8967);Malta
Il-Belt Valletta;POINT(14.5125 35.8978);Malta
Il-Qrendi;POINT(14.4589 35.8342);Malta
Iż-Żejtun;POINT(14.5333 35.8556);Malta
Għarb;POINT(14.2092 36.0611);Malta
Il-Kunsill Lokali tan-Naxxar;POINT(14.4447 35.915);Malta
L-Iklin;POINT(14.4544 35.9042);Malta
Il-Kunsill Lokali tax-Xagħra;POINT(14.2675 36.0503);Malta
Ta' Xbiex;POINT(14.4981 35.8992);Malta
Humilissima Civitas Valletta;POINT(14.5125 35.8978);Malta
San Pawl il-Baħar;POINT(14.4017 35.9483);Malta
Tarxien;POINT(14.5119 35.8658);Malta
